City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
127,elko,41.0002,-115.5012,20.91,52,0,0.45,US,1689868160
128,igrim,63.1906,64.4162,21.04,73,95,1.5,RU,1689868317
129,campo gallo,-26.5833,-62.85,22.47,31,11,5.77,AR,1689868317
130,sur,22.5667,59.5289,32.84,59,98,1.58,OM,1689868317
131,ulladulla,-35.35,150.4667,10.95,51,54,3.63,AU,1689868318
132,kavaratti,10.5669,72.642,28.16,82,100,8.23,IN,1689868318
133,puerto natales,-51.7236,-72.4875,1.72,99,100,1.3,CL,1689868261
134,constitucion,-35.3333,-72.4167,14.52,78,100,6.07,CL,1689868318
135,kuala belait,4.5833,114.1833,27.09,91,100,5.14,BN,1689868318
136,waingapu,-9.6567,120.2641,22.09,78,0,2.58,ID,1689868318
137,holualoa,19.6228,-155.9522,26.59,89,75,3.6,US,1689868318
138,san fernando,15.0286,120.6898,26.85,86,10,0.91,PH,1689868319
139,kodiak,57.79,-152.4072,10.73,100,100,0.0,US,1689868320
140,klyuchi,52.2667,79.1667,22.28,55,84,3.55,RU,1689868320
141,nevada,39.2502,-116.7512,21.31,42,0,0.16,US,1689868320
142,tidjikja,18.5564,-11.4271,37.8,25,60,8.78,MR,1689868121
143,olinda,-8.0089,-34.8553,27.85,69,40,7.72,BR,1689868265
144,port saint john's,-31.6229,29.5448,14.22,55,93,3.71,ZA,1689868320
145,cukai,4.25,103.4167,23.97,91,100,1.7,MY,1689868320
146,rongelap,11.1635,166.8941,28.78,78,100,7.38,MH,1689868067
147,valparaiso,-33.0393,-71.6273,15.56,90,100,1.54,CL,1689868321
148,sittwe,20.15,92.9,26.96,91,100,7.45,MM,1689868321
149,bowen,-20.0167,148.2333,17.31,87,30,3.47,AU,1689868321
150,krasnyy chikoy,50.3643,108.7512,13.94,64,12,1.11,RU,1689868321
151,keflavik,64.0049,-22.5624,12.95,82,75,3.09,IS,1689868070
152,port alfred,-33.5906,26.891,10.66,71,63,5.16,ZA,1689868321
153,aral,40.5156,81.2636,32.71,19,37,10.05,CN,1689868321
154,betio village,1.358,172.9211,26.02,77,77,4.57,KI,1689868322
155,touros,-5.1989,-35.4608,28.42,58,18,8.83,BR,1689868253
156,trapani,37.8333,12.6667,40.15,79,0,4.63,IT,1689868322
157,myrina,39.8797,25.0742,33.58,38,0,0.0,GR,1689868322
158,mount pearl,47.5166,-52.7813,28.51,77,75,8.23,CA,1689868323
159,tazovsky,67.4667,78.7,17.6,83,76,1.74,RU,1689868038
160,lazaro cardenas,17.9583,-102.2,28.82,74,99,1.79,MX,1689868119
161,turbat,26.0023,63.044,31.82,60,100,5.07,PK,1689868323
162,punta arenas,-53.15,-70.9167,2.28,67,97,6.62,CL,1689868247
163,miguel ahumada,30.6167,-106.5167,33.81,17,78,4.87,MX,1689868323
164,jalqani,12.4486,34.2186,29.43,63,100,3.43,SD,1689868323
165,luderitz,-26.6481,15.1594,16.61,52,0,7.51,NA,1689868324
166,pisco,-13.7,-76.2167,20.03,73,100,1.54,PE,1689868324
167,kulachi,31.9286,70.4592,37.0,42,7,1.28,PK,1689868324
168,pirot,43.1531,22.5861,27.02,63,3,3.04,RS,1689868324
169,gamba,-2.65,10.0,23.42,74,68,4.32,GA,1689868324
170,novospasskoye,53.1468,47.7514,20.02,53,64,5.24,RU,1689868325
171,walvis bay,-22.9575,14.5053,14.79,67,7,1.64,NA,1689868325
172,afaahiti,-17.75,-149.2833,22.93,66,55,8.11,PF,1689868325
173,margate,51.3813,1.3862,19.27,73,66,2.24,GB,1689868325
174,kitimat,54.0524,-128.6534,21.06,71,38,0.89,CA,1689868325
175,troitskoye,52.9821,84.6757,18.14,95,57,2.27,RU,1689868325
176,qamdo,31.1667,97.2333,6.23,69,81,1.51,CN,1689868310
177,masaka,-0.3338,31.7341,21.21,55,1,4.37,UG,1689868326
178,chernomorskoye,45.5039,32.6997,25.06,74,27,9.13,UA,1689868326
179,funafuti,-8.5243,179.1942,29.0,89,40,0.0,TV,1689868326
